station_id,USAF,WBAN,state,latitude,longitude,avg_wind_speed_ms,ICAO,ICAO_CLEAN,has_icao,NAME,BEGIN,END
72026563833,720265,63833,AL,32.915,-85.963,1.5543529411763355,KALX,KALX,True,,20060101,20250825
72030763804,720307,63804,AL,34.861,-86.557,2.716195357605263,KMDQ,KMDQ,True,,20060101,20250825
72036163870,720361,63870,AL,31.043,-86.312,2.158676488346889,K0J4,K0J4,True,,20060511,20250827
72036263874,720362,63874,AL,31.847,-86.614,2.2831161206997894,KPRN,KPRN,True,,20060901,20250827
72036363872,720363,63872,AL,31.952,-85.131,1.820446466657297,KEUF,KEUF,True,,20060901,20250827
72037663880,720376,63880,AL,34.229,-86.256,3.2495981362839617,K8A0,K8A0,True,,20060403,20250501
72038163885,720381,63885,AL,30.291,-87.672,2.438671650373629,KJKA,KJKA,True,,20060501,20250825
72041300138,720413,00138,AL,34.267,-87.6,2.3370183008482366,K1M4,K1M4,True,,20090101,20250825
72050499999,720504,99999,AL,33.57,-86.051,2.372163714695687,KASN,KASN,True,,20120106,20250824
72050500156,720505,00156,AL,33.902,-87.314,1.2786200662849854,KJFX,KJFX,True,,20110207,20250825
72050799999,720507,99999,AL,33.313,-86.926,2.1860584645038337,KEKY,KEKY,True,,20160714,20250824
72050899999,720508,99999,AL,33.172,-86.306,1.5846513860553082,KSCD,KSCD,True,,20140114,20250824
72059200186,720592,00186,AL,30.46,-87.877,1.8732696897372625,KCQF,KCQF,True,,20090101,20250825
72085600284,720856,00284,AL,34.689,-86.006,1.675735020468848,K4A6,K4A6,True,,20101130,20250825
72091200302,720912,00302,AL,29.233,-87.783,3.3409310986960112,KVOA,KVOA,True,,20110112,20250825
72203163839,722031,63839,AL,34.269,-86.858,2.2578903256701284,K3A1,K3A1,True,,20060101,20250824
72221999999,722219,99999,AL,31.363,-85.849,2.3736802349976664,KSXS,KSXS,True,,20131211,20250824
72223013894,722230,13894,AL,30.688,-88.246,2.981001651073014,KMOB,KMOB,True,,19730101,20250827
72223513838,722235,13838,AL,30.615,-88.063,3.050400712377428,KBFM,KBFM,True,,19420701,20250827
72223863873,722238,63873,AL,31.35,-85.667,2.2875250500999957,KHEY,KHEY,True,,20060901,20250826
72223953861,722239,53861,AL,31.356,-85.751,1.7114532326333938,KLOR,KLOR,True,,20080717,20250826
72226013895,722260,13895,AL,32.3,-86.407,2.578950722174879,KMGM,KMGM,True,,19730101,20250827
72226513821,722265,13821,AL,32.383,-86.35,2.039221486038901,KMXF,KMXF,True,,19351001,20250826
72226699999,722266,99999,AL,32.344,-86.988,2.224681382209671,KSEM,KSEM,True,,20140109,20250824
