year,month,state,capacity_factor
1995,1,AL,0.029119
1995,1,AR,0.037494
1995,1,AZ,0.022909
1995,1,CA,0.057446
1995,1,CO,0.032246
1995,1,CT,0.033662
1995,1,DE,0.039517
1995,1,FL,0.035313
1995,1,GA,0.030855
1995,1,IA,0.074944
1995,1,ID,0.051188
1995,1,IL,0.072938
1995,1,IN,0.067059
1995,1,KS,0.066548
1995,1,KY,0.035021
1995,1,LA,0.044337
1995,1,MA,0.074451
1995,1,MD,0.043958
1995,1,ME,0.030714
1995,1,MI,0.051012
1995,1,MN,0.054388
1995,1,MO,0.051532
1995,1,MS,0.031584
1995,1,MT,0.05144
1995,1,NC,0.036095
1995,1,ND,0.071168
1995,1,NE,0.051297
1995,1,NH,0.092817
1995,1,NJ,0.06123
1995,1,NM,0.062049
1995,1,NV,0.054166
1995,1,NY,0.069806
1995,1,OH,0.088775
1995,1,OK,0.06754
1995,1,OR,0.082611
1995,1,PA,0.051645
1995,1,RI,0.105304
1995,1,SC,0.03162
1995,1,SD,0.058648
1995,1,TN,0.032056
1995,1,TX,0.06454
1995,1,UT,0.026217
1995,1,VA,0.037405
1995,1,VT,0.035015
1995,1,WA,0.02632
1995,1,WI,0.054519
1995,1,WV,0.022314
1995,1,WY,0.073834
1995,2,AL,0.035125
1995,2,AR,0.035979
1995,2,AZ,0.02507
1995,2,CA,0.017512
1995,2,CO,0.051173
1995,2,CT,0.053834
1995,2,DE,0.063544
1995,2,FL,0.046369
1995,2,GA,0.043904
1995,2,IA,0.108896
1995,2,ID,0.039297
1995,2,IL,0.085981
1995,2,IN,0.081631
1995,2,KS,0.098436
1995,2,KY,0.043708
1995,2,LA,0.03826
1995,2,MA,0.110552
1995,2,MD,0.060648
1995,2,ME,0.044965
1995,2,MI,0.075129
1995,2,MN,0.079265
1995,2,MO,0.073423
1995,2,MS,0.030809
1995,2,MT,0.104528
1995,2,NC,0.036717
1995,2,ND,0.139141
1995,2,NE,0.09629
1995,2,NH,0.098513
1995,2,NJ,0.082665
1995,2,NM,0.064975
1995,2,NV,0.033574
1995,2,NY,0.094944
1995,2,OH,0.091256
1995,2,OK,0.091082
1995,2,OR,0.038975
1995,2,PA,0.074985
1995,2,RI,0.147868
1995,2,SC,0.038132
1995,2,SD,0.104859
1995,2,TN,0.036853
1995,2,TX,0.061219
1995,2,UT,0.026445
1995,2,VA,0.050913
1995,2,VT,0.047187
1995,2,WA,0.038588
1995,2,WI,0.078885
1995,2,WV,0.029217
1995,2,WY,0.087933
1995,3,AL,0.029428
1995,3,AR,0.038672
1995,3,AZ,0.035277
1995,3,CA,0.057716
1995,3,CO,0.074303
1995,3,CT,0.033602
1995,3,DE,0.045715
1995,3,FL,0.046293
1995,3,GA,0.029166
1995,3,IA,0.081706
1995,3,ID,0.056759
1995,3,IL,0.069894
1995,3,IN,0.055775
1995,3,KS,0.133302
1995,3,KY,0.033001
1995,3,LA,0.044003
1995,3,MA,0.057238
1995,3,MD,0.03853
1995,3,ME,0.03697
1995,3,MI,0.038439
1995,3,MN,0.057182
1995,3,MO,0.08076
1995,3,MS,0.035447
1995,3,MT,0.084131
1995,3,NC,0.038043
1995,3,ND,0.113463
1995,3,NE,0.126209
1995,3,NH,0.097816
1995,3,NJ,0.057616
1995,3,NM,0.096601
1995,3,NV,0.091846
1995,3,NY,0.051991
1995,3,OH,0.049297
