date,year,month,season,state,capacity_factor,source_row_count
1995-01-01,1995,1,winter,AL,0.004685,1
1995-01-01,1995,1,winter,AR,0.044272,1
1995-01-01,1995,1,winter,AZ,0.009639,1
1995-01-01,1995,1,winter,CA,0.013005,1
1995-01-01,1995,1,winter,CO,0.009818,1
1995-01-01,1995,1,winter,CT,0.013016,1
1995-01-01,1995,1,winter,DE,0.004151,1
1995-01-01,1995,1,winter,FL,0.002888,1
1995-01-01,1995,1,winter,GA,0.00096,1
1995-01-01,1995,1,winter,IA,0.083763,1
1995-01-01,1995,1,winter,ID,0.026324,1
1995-01-01,1995,1,winter,IL,0.096835,1
1995-01-01,1995,1,winter,IN,0.070115,1
1995-01-01,1995,1,winter,KS,0.084867,1
1995-01-01,1995,1,winter,KY,0.028485,1
1995-01-01,1995,1,winter,LA,0.029042,1
1995-01-01,1995,1,winter,MA,0.079764,1
1995-01-01,1995,1,winter,MD,0.008127,1
1995-01-01,1995,1,winter,ME,0.003032,1
1995-01-01,1995,1,winter,MI,0.02024,1
1995-01-01,1995,1,winter,MN,0.02772,1
1995-01-01,1995,1,winter,MO,0.079261,1
1995-01-01,1995,1,winter,MS,0.014994,1
1995-01-01,1995,1,winter,MT,0.108731,1
1995-01-01,1995,1,winter,NC,0.015092,1
1995-01-01,1995,1,winter,ND,0.078553,1
1995-01-01,1995,1,winter,NE,0.050296,1
1995-01-01,1995,1,winter,NH,0.127181,1
1995-01-01,1995,1,winter,NJ,0.030209,1
1995-01-01,1995,1,winter,NM,0.033523,1
1995-01-01,1995,1,winter,NV,0.022432,1
1995-01-01,1995,1,winter,NY,0.024708,1
1995-01-01,1995,1,winter,OH,0.049583,1
1995-01-01,1995,1,winter,OK,0.151231,1
1995-01-01,1995,1,winter,OR,0.141555,1
1995-01-01,1995,1,winter,PA,0.021736,1
1995-01-01,1995,1,winter,RI,0.09241,1
1995-01-01,1995,1,winter,SC,0.006577,1
1995-01-01,1995,1,winter,SD,0.072365,1
1995-01-01,1995,1,winter,TN,0.026112,1
1995-01-01,1995,1,winter,TX,0.082865,1
1995-01-01,1995,1,winter,UT,0.013418,1
1995-01-01,1995,1,winter,VA,0.020296,1
1995-01-01,1995,1,winter,VT,0.005743,1
1995-01-01,1995,1,winter,WA,0.028396,1
1995-01-01,1995,1,winter,WI,0.056276,1
1995-01-01,1995,1,winter,WV,0.016537,1
1995-01-01,1995,1,winter,WY,0.046991,1
1995-01-02,1995,1,winter,AL,0.040064,1
1995-01-02,1995,1,winter,AR,0.003824,1
1995-01-02,1995,1,winter,AZ,0.017104,1
1995-01-02,1995,1,winter,CA,0.016321,1
1995-01-02,1995,1,winter,CO,0.013411,1
1995-01-02,1995,1,winter,CT,0.066583,1
1995-01-02,1995,1,winter,DE,0.132592,1
1995-01-02,1995,1,winter,FL,0.018416,1
1995-01-02,1995,1,winter,GA,0.046704,1
1995-01-02,1995,1,winter,IA,0.037179,1
1995-01-02,1995,1,winter,ID,0.019034,1
1995-01-02,1995,1,winter,IL,0.093315,1
1995-01-02,1995,1,winter,IN,0.130164,1
1995-01-02,1995,1,winter,KS,0.009803,1
1995-01-02,1995,1,winter,KY,0.044504,1
1995-01-02,1995,1,winter,LA,0.040252,1
1995-01-02,1995,1,winter,MA,0.103341,1
1995-01-02,1995,1,winter,MD,0.178444,1
1995-01-02,1995,1,winter,ME,0.004572,1
1995-01-02,1995,1,winter,MI,0.091295,1
1995-01-02,1995,1,winter,MN,0.053534,1
1995-01-02,1995,1,winter,MO,0.018235,1
1995-01-02,1995,1,winter,MS,0.027598,1
1995-01-02,1995,1,winter,MT,0.040189,1
1995-01-02,1995,1,winter,NC,0.045353,1
1995-01-02,1995,1,winter,ND,0.196679,1
1995-01-02,1995,1,winter,NE,0.038431,1
1995-01-02,1995,1,winter,NH,0.112674,1
1995-01-02,1995,1,winter,NJ,0.147423,1
1995-01-02,1995,1,winter,NM,0.01758,1
1995-01-02,1995,1,winter,NV,0.004318,1
1995-01-02,1995,1,winter,NY,0.148548,1
1995-01-02,1995,1,winter,OH,0.236211,1
1995-01-02,1995,1,winter,OK,0.003936,1
1995-01-02,1995,1,winter,OR,0.09873,1
1995-01-02,1995,1,winter,PA,0.148731,1
1995-01-02,1995,1,winter,RI,0.12496,1
1995-01-02,1995,1,winter,SC,0.04704,1
1995-01-02,1995,1,winter,SD,0.155474,1
1995-01-02,1995,1,winter,TN,0.033086,1
1995-01-02,1995,1,winter,TX,0.030617,1
1995-01-02,1995,1,winter,UT,0.003864,1
1995-01-02,1995,1,winter,VA,0.093523,1
1995-01-02,1995,1,winter,VT,0.024492,1
1995-01-02,1995,1,winter,WA,0.018377,1
1995-01-02,1995,1,winter,WI,0.078243,1
1995-01-02,1995,1,winter,WV,0.059111,1
1995-01-02,1995,1,winter,WY,0.029055,1
1995-01-03,1995,1,winter,AL,0.007554,1
1995-01-03,1995,1,winter,AR,0.007671,1
1995-01-03,1995,1,winter,AZ,0.004297,1
1995-01-03,1995,1,winter,CA,0.034959,1
1995-01-03,1995,1,winter,CO,0.013585,1
1995-01-03,1995,1,winter,CT,0.035209,1
1995-01-03,1995,1,winter,DE,0.01764,1
1995-01-03,1995,1,winter,FL,0.006598,1
1995-01-03,1995,1,winter,GA,0.022318,1
1995-01-03,1995,1,winter,IA,0.078391,1
