state,avg_capacity_factor,avg_wind_speed_ms,first_year,last_year,day_count
ND,0.09219181593283918,4.6963366973296425,1995,2025,11197
SD,0.08901879655264804,4.504064052871306,1995,2025,11197
KS,0.08382525622934715,4.557309573993033,1995,2025,11197
NE,0.0783819992855229,4.326915227293026,1995,2025,11197
MT,0.078349916227561,4.061736849156025,1995,2025,11197
WY,0.07689038045905155,3.9036704742341706,1995,2025,11197
NM,0.06863416031079753,4.008682691792444,1995,2025,11197
IA,0.06581835000446548,4.150507403768867,1995,2025,11197
CO,0.06346466151647762,3.7395446726801818,1995,2025,11197
OK,0.06233758310261677,3.9955414664642315,1995,2025,11197
TX,0.05582267777083146,3.9135065999821395,1995,2025,11197
MN,0.049924925783692065,3.6170674555684554,1995,2025,11197
RI,0.04962853407162634,3.753723845672947,1995,2025,11197
DE,0.048243708861890285,3.688685697695192,1995,2025,11194
MA,0.047972499106823864,3.613732127545553,1995,2025,11196
IL,0.04748876404394034,3.627883575957846,1995,2025,11197
OH,0.046732172278288846,3.5855932124676264,1995,2025,11197
IN,0.044989932928462976,3.5971253192819495,1995,2025,11197
NV,0.04438154684290435,3.2611083147271587,1995,2025,11197
MI,0.04350406805394303,3.514402045190677,1995,2025,11197
UT,0.04304244431544164,3.2200060373314288,1995,2025,11197
NH,0.04301882316691971,2.9121503081182465,1995,2025,11197
NY,0.04249538260248281,3.433017602929357,1995,2025,11197
MO,0.03784683200857373,3.4617406269536475,1995,2025,11197
NJ,0.03671737048946053,3.1390449714183637,1995,2025,11196
ID,0.03640784299365901,2.9687323747432353,1995,2025,11197
WI,0.03596234143074037,3.3529805037063505,1995,2025,11197
AZ,0.03573407805662232,3.130370143788516,1995,2025,11197
CT,0.03535435744908897,3.2845319667738484,1995,2025,11196
LA,0.03529732356881309,3.0240987318031625,1995,2025,11197
MD,0.03466622668810289,3.1900767327617006,1995,2025,11196
CA,0.034508437438599625,2.9457101366437453,1995,2025,11197
OR,0.031212336072162183,2.774574886130214,1995,2025,11197
WA,0.029789666607126914,2.8224822809681163,1995,2025,11197
FL,0.028291330445655082,3.0897097883361617,1995,2025,11197
PA,0.028187271858533532,2.951674359203358,1995,2025,11197
ME,0.028160230597481465,2.909315772081808,1995,2025,11197
VA,0.027142738412074652,2.7696165669375716,1995,2025,11197
AR,0.023302224970974367,2.801875413057069,1995,2025,11197
NC,0.020865644458337048,2.5186685808698765,1995,2025,11197
MS,0.020252758685362145,2.6408119317674377,1995,2025,11197
KY,0.020079213450031257,2.654710163436635,1995,2025,11197
VT,0.018537743569131834,2.3529390585923537,1995,2025,11196
TN,0.017698235956059655,2.4709083415200492,1995,2025,11197
SC,0.017563702330981517,2.5842522907921763,1995,2025,11197
AL,0.016563,2.4655916056438656,1995,2025,11198
WV,0.015211670179512367,2.2790888273644727,1995,2025,11197
GA,0.013443066446369565,2.2801533714387787,1995,2025,11197
