date,region,capacity_factor
1995-01-01,CA,0.013005
1995-01-01,FL,0.002888
1995-01-01,MN,0.02772
1995-01-01,TX,0.082865
1995-01-02,CA,0.016321
1995-01-02,FL,0.018416
1995-01-02,MN,0.053534
1995-01-02,TX,0.030617
1995-01-03,CA,0.034959
1995-01-03,FL,0.006598
1995-01-03,MN,0.087815
1995-01-03,TX,0.037708
1995-01-04,CA,0.105512
1995-01-04,FL,0.013518
1995-01-04,MN,0.038035
1995-01-04,TX,0.072887
1995-01-05,CA,0.161117
1995-01-05,FL,0.04805
1995-01-05,MN,0.16014
1995-01-05,TX,0.073121
1995-01-06,CA,0.050008
1995-01-06,FL,0.089886
1995-01-06,MN,0.094909
1995-01-06,TX,0.148176
1995-01-07,CA,0.151811
1995-01-07,FL,0.077144
1995-01-07,MN,0.037905
1995-01-07,TX,0.034476
1995-01-08,CA,0.127293
1995-01-08,FL,0.021537
1995-01-08,MN,0.037557
1995-01-08,TX,0.043458
1995-01-09,CA,0.165392
1995-01-09,FL,0.009219
1995-01-09,MN,0.019167
1995-01-09,TX,0.020066
1995-01-10,CA,0.148839
1995-01-10,FL,0.010602
1995-01-10,MN,0.062912
1995-01-10,TX,0.066349
1995-01-11,CA,0.083149
1995-01-11,FL,0.010825
1995-01-11,MN,0.053876
1995-01-11,TX,0.097186
1995-01-12,CA,0.05663
1995-01-12,FL,0.01366
1995-01-12,MN,0.004632
1995-01-12,TX,0.091225
1995-01-13,CA,0.070938
1995-01-13,FL,0.083726
1995-01-13,MN,0.023125
1995-01-13,TX,0.105316
1995-01-14,CA,0.079666
1995-01-14,FL,0.103059
1995-01-14,MN,0.008603
1995-01-14,TX,0.084263
1995-01-15,CA,0.047858
1995-01-15,FL,0.051507
1995-01-15,MN,0.015074
1995-01-15,TX,0.026158
1995-01-16,CA,0.056293
1995-01-16,FL,0.039954
1995-01-16,MN,0.161313
1995-01-16,TX,0.123364
1995-01-17,CA,0.022059
1995-01-17,FL,0.004356
1995-01-17,MN,0.222948
1995-01-17,TX,0.063513
1995-01-18,CA,0.009552
1995-01-18,FL,0.007611
1995-01-18,MN,0.091799
1995-01-18,TX,0.126431
1995-01-19,CA,0.010867
1995-01-19,FL,0.041919
1995-01-19,MN,0.010351
1995-01-19,TX,0.067412
1995-01-20,CA,0.025232
1995-01-20,FL,0.077189
1995-01-20,MN,0.057665
1995-01-20,TX,0.005254
1995-01-21,CA,0.02108
1995-01-21,FL,0.027469
1995-01-21,MN,0.0909
1995-01-21,TX,0.015126
1995-01-22,CA,0.055402
1995-01-22,FL,0.007025
1995-01-22,MN,0.106456
1995-01-22,TX,0.060077
1995-01-23,CA,0.040924
1995-01-23,FL,0.090493
1995-01-23,MN,0.023201
1995-01-23,TX,0.083553
1995-01-24,CA,0.048255
1995-01-24,FL,0.075416
1995-01-24,MN,0.00133
1995-01-24,TX,0.016746
1995-01-25,CA,0.038189
1995-01-25,FL,0.021349
1995-01-25,MN,0.001628
1995-01-25,TX,0.013989
1995-01-26,CA,0.053468
1995-01-26,FL,0.007728
1995-01-26,MN,0.009665
1995-01-26,TX,0.050911
1995-01-27,CA,0.020824
1995-01-27,FL,0.006332
1995-01-27,MN,0.020554
1995-01-27,TX,0.106578
1995-01-28,CA,0.015641
1995-01-28,FL,0.04923
1995-01-28,MN,0.019448
1995-01-28,TX,0.090191
1995-01-29,CA,0.015087
1995-01-29,FL,0.015055
1995-01-29,MN,0.021432
1995-01-29,TX,0.074963
1995-01-30,CA,0.016713
1995-01-30,FL,0.031426
1995-01-30,MN,0.05245
1995-01-30,TX,0.055791
1995-01-31,CA,0.018752
1995-01-31,FL,0.031522
1995-01-31,MN,0.069879
1995-01-31,TX,0.032979
1995-02-01,CA,0.010762
1995-02-01,FL,0.017383
1995-02-01,MN,0.016428
1995-02-01,TX,0.01764
1995-02-02,CA,0.011347
1995-02-02,FL,0.042378
1995-02-02,MN,0.000657
1995-02-02,TX,0.022138
1995-02-03,CA,0.014062
1995-02-03,FL,0.016953
1995-02-03,MN,0.192081
1995-02-03,TX,0.175446
1995-02-04,CA,0.00765
1995-02-04,FL,0.255351
1995-02-04,MN,0.094067
1995-02-04,TX,0.054249
1995-02-05,CA,0.004239
1995-02-05,FL,0.083633
1995-02-05,MN,0.010182
1995-02-05,TX,0.044381
1995-02-06,CA,0.005164
1995-02-06,FL,0.040186
1995-02-06,MN,0.011051
1995-02-06,TX,0.023476
1995-02-07,CA,0.015166
1995-02-07,FL,0.024198
