region,season,capacity_factor
CA,fall,0.02441160402930403
CA,spring,0.04640584572230014
CA,summer,0.03503674956094134
CA,winter,0.03166814636790748
FL,fall,0.0281084304029304
FL,spring,0.03526599018232819
FL,summer,0.01967240498770636
FL,winter,0.0301606349837369
MN,fall,0.04866715970695971
MN,spring,0.06659946563814867
MN,summer,0.028288829645240602
MN,winter,0.05625879074810263
TX,fall,0.042081986446886446
TX,spring,0.07817757924263674
TX,summer,0.04222224130663857
TX,winter,0.06034148608601373
